Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
get orders,10,17,7,12,12,108,5,108,0.000%,1.08202,1.27,0.17
Create order,1,446,446,446,446,446,446,446,0.000%,2.24215,125344.19,0.55
get orders2,10,362,354,401,401,409,331,409,0.000%,.78839,44074.76,0.12
TOTAL,21,202,331,401,409,446,5,446,0.000%,.89813,26300.55,0.14
